TIME, 1-REF
000:00:17.450,7.18
000:00:17.475,2.14
000:00:17.500,0.46
000:00:17.525,2.52
000:00:17.550,12.9
000:00:17.575,16.64
000:00:17.600,4.35
000:00:17.625,-6.95
000:00:17.650,-4.66
000:00:17.675,1.98
000:00:17.700,10.08
000:00:17.725,23.05
000:00:17.750,12.14
000:00:17.775,0.46
000:00:17.800,-0.08
000:00:17.825,10.46
000:00:17.850,11.98
000:00:17.875,7.63
000:00:17.900,1.3
000:00:17.925,-9.31
000:00:17.950,-6.72
000:00:17.975,4.73
000:00:18.000,7.79
000:00:18.025,-3.44
000:00:18.050,-12.98
000:00:18.075,-10.0
000:00:18.100,-0.46
000:00:18.125,-2.06
000:00:18.150,6.87
000:00:18.175,43.13
000:00:18.200,0.0
000:00:18.225,0.0
000:00:18.250,0.0
000:00:18.275,5.8
000:00:18.300,0.61
000:00:18.325,-16.41
000:00:18.350,-28.55
000:00:18.375,-30.08
000:00:18.400,-21.6
000:00:18.425,-29.77
000:00:18.450,-40.0
000:00:18.475,-37.18
000:00:18.500,-23.66
000:00:18.525,-12.98
000:00:18.550,28.85
000:00:18.575,0.0
000:00:18.600,0.0
000:00:18.625,0.0
000:00:18.650,0.0
000:00:18.675,6.64
000:00:18.700,-16.26
000:00:18.725,-44.27
000:00:18.750,0.0
000:00:18.775,0.0
000:00:18.800,0.0
000:00:18.825,0.0
000:00:18.850,0.0
000:00:18.875,0.0
000:00:18.900,0.0
000:00:18.925,-31.98
000:00:18.950,-49.62
000:00:18.975,0.0
000:00:19.000,0.0
000:00:19.025,0.0
000:00:19.050,-24.43
000:00:19.075,-21.91
000:00:19.100,-31.98
000:00:19.125,-39.08
000:00:19.150,-17.02
000:00:19.175,5.11
000:00:19.200,17.48
000:00:19.225,-8.24
000:00:19.250,-28.24
000:00:19.275,-35.57
000:00:19.300,-30.0
000:00:19.325,-23.36
000:00:19.350,-12.29
000:00:19.375,-13.51
000:00:19.400,-14.89
000:00:19.425,-19.54
000:00:19.450,-24.89
000:00:19.475,-26.34
000:00:19.500,-10.0
000:00:19.525,1.37
000:00:19.550,2.06
000:00:19.575,-8.93
000:00:19.600,-5.27
000:00:19.625,-2.82
000:00:19.650,-4.89
000:00:19.675,-6.11
000:00:19.700,2.29
000:00:19.725,3.51
000:00:19.750,-8.47
000:00:19.775,-18.78
000:00:19.800,-0.38
000:00:19.825,14.27
000:00:19.850,3.44
000:00:19.875,-6.26
000:00:19.900,-2.75
000:00:19.925,3.82
000:00:19.950,10.0
000:00:19.975,6.03
000:00:20.000,2.52
000:00:20.025,15.19
000:00:20.050,24.05
000:00:20.075,0.92
000:00:20.100,-9.31
000:00:20.125,3.89
000:00:20.150,20.38
000:00:20.175,12.44
000:00:20.200,-0.46
000:00:20.225,3.89
000:00:20.250,10.15
000:00:20.275,2.9
000:00:20.300,-3.44
000:00:20.325,-0.38
000:00:20.350,-1.6
000:00:20.375,-5.8
000:00:20.400,5.95
000:00:20.425,10.99
000:00:20.450,5.8
000:00:20.475,0.92
000:00:20.500,5.57
000:00:20.525,3.74
000:00:20.550,2.6
